求职网站,公司名称,岗位名,需求数量,职责,能力要求,薪资待遇
猎聘,某国内大型电子/半导体/集成电路公司,领军人工智能应用架构师,10000人以上,,,30-50k
猎聘,某北京大型人力资源服务公司,35W左右【高校博士教师】base三亚-博士研究方向需与计算机/人工智能相关-提供住宿-八险一金-各种福利都有,5000-10000人,,,20-30k
猎聘,某国内基金/证券/期货公司,AI人工智能投资MD,1-49人,,,50-80k·15薪
猎聘,某基金/证券/期货公司,人工智能投资岗  上海/深圳,100-499人,,,20-40k
猎聘,某大型学校教育公司,人工智能学院院长-ZZ,5000-10000人,,,50-70k·16薪
猎聘,某上海基金/证券/期货公司,AI投资（国资基金-人工智能）,,,,100-150k
猎聘,某南京大型学术/科研公司,工业人工智能高级工程师,1000-2000人,,,30-60k·15薪
猎聘,某苏州基金/证券/期货公司,AI人工智能投资总监/高级投资经理-苏州PE机构,1-49人,,,20-35k·20薪
猎聘,广州淮琛贸易有限公司,会计主管双休,,,,9-12k
猎聘,某南京大型计算机软件公司,人工智能首席专家 / AI 技术战略科学家,5000-10000人,,,30-60k
猎聘,惠州固尔琦智能设备有限公司,人工智能管培生,500-999人,,,25-35k
猎聘,某北京制药上市公司,"高级化学人工智能总监(Senior) Director, Chemistry AI",10000人以上,,,70-100k
猎聘,莱茵技术,人工智能、芯片、自动驾驶认证销售主任,2000-5000人,,,8-12k·13薪
猎聘,智云星峰(杭州)技术有限公司,总经理助理／秘书（AI人工智能）,1-49人,,,10-15k
猎聘,某北京培训服务公司,人工智能产品经理,100-499人,,,30-40k
猎聘,某深圳政府/公共事业公司,人工智能研究员,100-499人,,,50-70k·13薪
猎聘,某厦门培训服务公司,人工智能算法工程师,1-49人,,,8-10k·13薪
猎聘,某国内大型基金/证券/期货公司,股权投资（新能源、新材料、半导体、高端装备、先进制造、人工智能、生物医药等）,2000-5000人,,,25-50k·18薪
猎聘,某广州检测认证上市公司,人工智能算法测试主任工程师,2000-5000人,,,30-50k
猎聘,某国内人工智能上市公司,人工智能专家（济南）,500-999人,,,35-50k
猎聘,某知名人工智能上市公司,HRD/集团人力资源一号位/HRVP某知名人工智能具身机器人企业,5000-10000人,,,100-130k·14薪
猎聘,凤鸣三秦(西安)企业管理咨询有限公司,人工智能研究员,100-499人,,,25-55k·16薪
猎聘,海南思沃家电商科技有限公司,电商仓库管理员,100-499人,,,6-7k
猎聘,某北京整车制造上市公司,人工智能场景研究,10000人以上,,,25-40k·15薪
猎聘,某重庆大型学校教育公司,人工智能技术应用专业负责人,5000-10000人,,,20-25k
猎聘,某知名公司,人工智能博士教师,500-999人,,,20-35k·15薪
猎聘,某大型知名计算机软件公司,高级标准化工程师（人工智能、机器人领域行业标准）,10000人以上,,,40-70k·16薪
猎聘,马士基物流(上海)有限公司成都分公司,人工智能科学家 ID191677,500-999人,,,薪资面议
猎聘,某南京人工智能公司,生产线人工智能设计特别研究助理（大模型方向）,100-499人,,,25-40k·15薪
猎聘,某西安知名公司,人工智能,500-999人,,,30-40k
猎聘,某知名公司,人工智能研究院（研发中心）院长,50-99人,,,55-80k
猎聘,某苏州IT服务公司,人力资源总监（人工智能AI）,,,,50-80k·15薪
猎聘,某郑州大型基金/证券/期货公司,投资管理岗（人工智能方向）,10000人以上,,,25-30k
猎聘,某知名公司,人工智能领域-产业招商管理层（国企）,1000-2000人,,,30-60k·14薪
猎聘,某杭州知名公司,AI人工智能负责人,10000人以上,,,150-250k
猎聘,某证券公司,分析师 行业研究 AI人工智能,10000人以上,,,15-30k·18薪
猎聘,某国内知名公司,人工智能产品经理（机器人/具身智能方向）,50-99人,,,30-40k·16薪
猎聘,某上海基金/证券/期货公司,AI投资（国资基金-人工智能）,,,,90-120k
猎聘,桂林激光通信研究所(中国电子科技集团公司第三十四研究所),人工智能算法工程师,1000-2000人,,,14-24k
猎聘,招商局金融科技有限公司,人工智能管理岗(J30154),500-999人,,,20-40k·15薪
猎聘,某知名公司,人工智能算法研究员/工程师（工业AI方向）,1000-2000人,,,25-40k
猎聘,某知名公司,招聘顾问（上海-人工智能+新能源储能+机器人等领域）,50-99人,,,10-15k·20薪
猎聘,某北京大型咨询服务公司,人工智能研发工程师,500-999人,,,13-15k
猎聘,某知名整车制造上市公司,车联网/人工智能/智慧交通（博士招聘）,5000-10000人,,,25-50k
猎聘,某深圳通信设备上市公司,人工智能产品总监,1000-2000人,,,100-130k
猎聘,某东莞电力/热力/燃气/水务公司,人工智能首席专家,100-499人,,,50-75k
猎聘,联想教育,人工智能专业方案产品经理,100-499人,,,20-30k
猎聘,广州茜龙商贸有限公司,会计双休,50-99人,,,8-11k
猎聘,某厦门专业技术服务公司,氢能、人工智能、未来显示、半导体创业博士,,,,25-35k
猎聘,招商局蛇口工业区控股股份有限公司,Java工程师,10000人以上,,,8-9k
猎聘,某西安大型专业技术服务公司,人工智能专家,500-999人,,,40-45k
猎聘,泉州某大学,人工智能专任教师,10000人以上,,,7-9k
猎聘,某国内大型专业技术服务公司,人工智能博士教师，500强公司旗下人工智能学院，40W，三亚，福利齐全,500-999人,,,25-35k·14薪
猎聘,某北京大型机械/设备公司,人工智能总监（央企,10000人以上,,,30-40k·24薪
猎聘,某国企上市公司,人工智能计量研究员,2000-5000人,,,30-50k
猎聘,Michael Page,人工智能产品经理（Mar-Tech方向）,5000-10000人,,,薪资面议
猎聘,某国内人工智能上市公司,人工智能专家,500-999人,,,30-50k·14薪
猎聘,某人力资源服务公司,人工智能算法工程师,50-99人,,,25-50k
猎聘,某深圳批发/零售公司,人工智能算法工程师,100-499人,,,12-20k·13薪
猎聘,某国内学术/科研公司,人工智能工程师,100-499人,,,20-40k
猎聘,某成都大型学校教育公司,高等教育人工智能技术专员,500-999人,,,7-12k·13薪
猎聘,仪电智算服务,人工智能应用生态负责人,100-499人,,,50-80k
猎聘,某国内大型计算机软件公司,工业人工智能算法工程师,10000人以上,,,35-55k·15薪
猎聘,某北京大型计算机软件公司,央企人工智能13职AI大模型-AI算法-大模型算法-机器人算法-垂直大模型40-80W,2000-5000人,,,30-60k·14薪
猎聘,某上海医疗器械上市公司,磁共振MRI模型算法专家 磁共振 影像 人工智能,5000-10000人,,,70-100k·16薪
猎聘,某知名公司,人工智能医学临床总监（心血管方向）,1-49人,,,40-70k
猎聘,某北京大型计算机软件公司,央企人工智能算法（管道产品-企业风控-机器学习）40-80W,2000-5000人,,,30-60k·14薪
猎聘,某合肥计算机软件上市公司,人工智能课程产品经理,10000人以上,,,25-40k·14薪
猎聘,某北京培训服务公司,人工智能方案产品经理,100-499人,,,30-45k·16薪
猎聘,某深圳IT服务公司,人工智能专家（（山东济南、淄博））,,,,80-110k
猎聘,广西产业技术研究院投资发展有限公司,项目经理/专员（人工智能方向）,1-49人,,,6-15k
猎聘,某知名IT服务上市公司,某人工智能智能设备上市企业/政务客户总监 / 政府行业业务拓展总监,500-999人,,,25-50k
猎聘,某国内人工智能上市公司,人工智能专家（山东济南）,500-999人,,,50-70k·13薪
猎聘,某北京石化上市公司,人工智能专家,10000人以上,,,60-80k
猎聘,某国企上市公司,人工智能体测试技术带头人技术方向（算力、算法、数据质量、体效能测试及智能化等级评估，四者精通其一即可）,2000-5000人,,,45-70k
猎聘,某北京专业技术服务公司,人工智能科学家,10000人以上,,,40-60k
猎聘,某知名公司,人工智能总监,50-99人,,,40-50k
猎聘,某杭州知名公司,人工智能研究员,10000人以上,,,50-80k
猎聘,某杭州互联网公司,人力资源总监HRD（人工智能行业）,100-499人,,,30-40k
猎聘,某知名公司,PE/VC投资-硬科技/人工智能,1-49人,,,25-30k·14薪
猎聘,某人力资源服务公司,人工智能算法工程师,50-99人,,,25-45k
猎聘,东莞市虎门机械厂,人工智能算法工程师,100-499人,,,9-14k
猎聘,某国内大型培训服务公司,人工智能教师/教学管理-民办本科院校-刚毕业或退休皆可,500-999人,,,20-40k·14薪
猎聘,某上海其他商务服务业公司,人工智能设计与开发方向（HC5人）,1-49人,,,30-50k
猎聘,某长沙科技推广服务公司,人工智能算法工程师,,,,10-12k·13薪
猎聘,某南京制药上市公司,AI人工智能工程师,1000-2000人,,,20-30k
猎聘,某北京大型培训服务公司,人工智能讲师,500-999人,,,8-12k
猎聘,某合肥大型电子/半导体/集成电路公司,人工智能,2000-5000人,,,15-30k·15薪
猎聘,人工智能领域优秀猎头顾问公司,招聘顾问（人工智能+机器人+新能源储能）,1-49人,,,10-15k·15薪
猎聘,某知名公司,首席人工智能官（CAIO）/AI,100-499人,,,100-200k
猎聘,某北京大型计算机软件公司,央企人工智能专家(AI大模型架构-AI系统架构-AI工控)40-80W ,2000-5000人,,,30-60k·14薪
猎聘,杭州德聚仁合企业管理咨询有限公司,人工智能AI咨询顾问/讲师/项目总监-全兼职,500-999人,,,60-90k
猎聘,某知名公司,苏州人工智能投资经理/分析员,50-99人,,,15-20k·18薪
猎聘,某国内大型整车制造公司,人工智能平台开发,1000-2000人,,,30-50k·15薪
猎聘,中智信通,人工智能规划与管理（双休）,2000-5000人,,,18-25k
猎聘,某重庆医疗机构公司,人工智能工程师,,,,30-40k
猎聘,某重庆大型学校教育公司,人工智能技术应用专业负责人,5000-10000人,,,18-20k
猎聘,某上海大型银行公司,子公司-人工智能应用中心负责人（看重算法经验）,10000人以上,,,130-150k·15薪
猎聘,某北京人工智能公司,销售经理（能源/电力/人工智能）,100-499人,,,23-25k·13薪
猎聘,上海某A股上市公司,导热、散热、导电、屏蔽大客户销售经理--（军工、汽车电子、消费电子、人工智能、医疗、光模块等行业）不带人,100-499人,,,20-40k·15薪
智联招聘,河南翱特人工智能科技有限公司,人工智能助理,20-99人,岗位职责：1．协助完成人工智能相关项目的资料整理与信息支持2．参与团队协作，完成日常事务性工作 3．按时完成上级交办的各项工作任务,： 1．大专学历，计算机相关专业优先。 2．有较强的学习能力与责任心，工作认真细致 3．能够适应多任务并行处理，具备一定抗压能力 岗位福利：入职缴纳五险一金，有绩效奖，年终奖，法定节假日带薪休假。 工作时间：早九晚六，双休，不加班。,6000-8000元
